listing_id,brand,model,year,price_inr,transmission,mileage_km,fuel_type,city,car_age,mileage_per_year,price_per_km,price_vs_model_median_pct,source_url,condition_grade,days_on_market,recon_cost_est,acquisition_cost,holding_cost_per_day,expected_resale_price
DW-003972,Volkswagen,Vento,2011,180000.0,Manual,150000.0,Petrol,Chandigarh,16,9375.0,1.2,-56.6,https://www.cardekho.com/used-car-details/used-Volkswagen-vento-petrol-trendline-cars-Chandigarh_6536c404-0ad9-4936-adab-1a2c2fb8ba0d.htm,Fair,46,22000,124605.0,274.13,180000.0
DW-004421,Nissan,Micra,2016,346691.0,Automatic,74892.0,Petrol,Kochi,11,6808.0,4.63,21.6,https://www.cardekho.com/used-car-details/used-Nissan-micra-xl-cvt-cars-Kochi_0cf96f8b-af0e-4aa4-ae5c-17aaba63fb41.htm,Fair,64,22000,269047.0,591.9,346691.0
DW-010041,Skoda,Octavia,2018,1099999.0,Automatic,73000.0,Petrol,New Delhi,9,8111.0,15.07,10.0,https://www.cardekho.com/used-car-details/used-Skoda-octavia-18-tsi-at-l-k-cars-New-Delhi_a939ec4b-129c-4ab8-b6d3-15f7820d049e.htm,Fair,46,22000,830158.0,1826.35,1099999.0
DW-006074,Renault,Kiger,2021,507000.0,Manual,71175.0,Petrol,Chandigarh,6,11862.0,7.12,-4.7,https://www.cardekho.com/used-car-details/used-Renault-kiger-rxz-cars-Chandigarh_343cb67f-5871-432e-b36d-a6ebfa5ed573.htm,Good,45,9000,394800.0,868.56,507000.0
DW-009990,Renault,KWID,2020,266000.0,Manual,48948.0,Petrol,New Delhi,7,6993.0,5.43,2.3,https://www.cardekho.com/used-car-details/used-Renault-kwid-10-rxt-opt-cars-New-Delhi_1b55b8ef-b599-4a08-810f-7c72940a593e.htm,Good,36,9000,211800.0,465.96,266000.0
DW-003018,Volkswagen,Taigun,2024,954250.0,Manual,24380.0,Petrol,Ahmedabad,3,8127.0,39.14,-13.2,https://www.cardekho.com/used-car-details/used-Volkswagen-taigun-highline-plus-cars-Ahmedabad_8d3c05e7-95de-406d-9f7c-4da86d64edda.htm,Excellent,13,3000,807945.0,1777.48,954250.0
DW-000714,Ford,Ecosport,2018,475000.0,Manual,75000.0,Diesel,New Delhi,9,8333.0,6.33,2.4,https://www.cardekho.com/used-car-details/used-Ford-ecosport-15-diesel-titanium-bsiv-cars-New-Delhi_518e0aa5-c2a3-4721-bdd5-ba9c497060cb.htm,Fair,43,22000,354213.0,779.27,475000.0
DW-007945,Honda,Amaze,2015,320071.0,Manual,72095.0,Petrol,Noida,12,6008.0,4.44,-28.9,https://www.cardekho.com/used-car-details/used-Honda-amaze-vx-i-vtech-cars-Noida_98ce4597-883f-4d31-8bea-ddaeca259653.htm,Fair,28,22000,244769.0,538.49,320071.0
DW-001865,Jeep,Compass,2021,1290000.0,Manual,76055.0,Diesel,Hyderabad,6,12676.0,16.96,32.3,https://www.cardekho.com/used-car-details/used-Jeep-compass-20-longitude-option-cars-Hyderabad_20c46be1-97ab-4872-a72e-f59cd9578cd6.htm,Good,70,9000,1069816.0,2353.6,1290000.0
DW-008067,Audi,Q7,2025,7975000.0,Automatic,17700.0,Petrol,New Delhi,2,8850.0,450.56,180.3,https://www.cardekho.com/used-car-details/used-Audi-q7-technology-cars-New-Delhi_8b15a2e5-c6f5-4551-9032-6965fcf88db1.htm?adId=34366&adType=41,Excellent,68,3000,6526274.0,14357.8,7975000.0
